"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"100","Basil","1","17",NA,"1","10","3",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"50","Lettuce","1","2","2","2","2","2",2016-11-18,"1","1","1",NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","12",NA,"2","3","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","3",NA,"2","3","4",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","15",NA,"2","5","4",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","20",NA,"2","7","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","19",NA,"2","8","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","6",NA,"2","8","3",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","1",NA,"3","2","1",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","16",NA,"3","2","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","4",NA,"3","5","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","13",NA,"3","10","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","7",NA,"4","1","4",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","9",NA,"4","3","2",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","11",NA,"4","5","3",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","2",NA,"4","6","4",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"100","Basil","1","14",NA,"4","9","4",NA,NA,NA,NA,NA,NA,"0","",NA,NA,NA,NA,NA,"",NA,""
"0.5","Lettuce","2","10",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","16",NA,"1","1","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25NaCl","Lettuce","2","11",NA,"1","1","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Basil","2","13",NA,"1","1","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25NaCl","Basil","2","13",NA,"1","2","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"Hoag","Basil","2","18",NA,"1","2","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
