"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"100NaCl","Lettuce","2","7",NA,"5","5","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"Hoag","Basil","2","8",NA,"5","5","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25","Basil","2","19",NA,"5","5","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5NaCl","Basil","2","16",NA,"5","6","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25","Basil","2","18",NA,"5","6","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"100NaCl","Basil","2","9",NA,"5","6","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"Hoag","Basil","2","5",NA,"5","6","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5","Basil","2","4",NA,"5","7","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25","Lettuce","2","1",NA,"5","7","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Basil","2","15",NA,"5","7","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
